[      32.758][RFID-H] 16: 03 06 00 00 00 02 09 E9 03 06 00 00 00 02 09 E9  | ................
[      32.917][RFID-R]  8: 03 10 00 0E 00 0D 61 ED  | ......a.
[      33.286][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      33.613][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      33.874][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      34.076][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      34.190][RFID-R] 37: 80 05 05 05 05 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 03 04 04 04 03 03 03 03 03 03 03 00 03 2E 0D  | .....................................
[      34.268][RFID-H] 16: 03 06 00 00 00 02 09 E9 03 06 00 00 00 02 09 E9  | ................
[      34.276][RFID-R]  8: 03 06 00 00 00 02 09 E9  | ........
[      34.285][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      34.487][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      34.504][RFID-R] 23: 03 03 12 03 05 05 04 04 04 04 04 04 04 04 04 04 04 03 03 03 00 2D 4C  | .....................-L
[      34.693][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      34.709][RFID-R] 23: 03 03 12 03 05 05 04 04 04 04 04 04 04 04 04 04 04 03 03 03 00 2D 4C  | .....................-L
[      34.901][RFID-H]  8: 03 03 00 05 00 09 94 2F  | ......./
[      34.917][RFID-R] 23: 03 03 12 03 05 05 04 04 04 04 04 04 04 04 04 04 04 03 03 03 00 2D 4C  | .....................-L
[      57.100][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.111][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      57.267][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.278][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 00 43 99  | ......p....C.
[      57.368][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.379][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 00 43 99  | ......p....C.
[      57.468][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.479][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      57.628][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.639][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      57.733][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.744][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      57.833][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.844][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
[      57.934][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      57.945][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 02 C2 58  | ......p.....X
[      58.034][RFID-H]  8: 03 03 00 0E 00 04 24 28  | ......$(
[      58.045][RFID-R] 13: 03 03 08 00 82 05 70 FD C0 17 01 82 59  | ......p.....Y
